A,fwhm,intensity,S
300.0772402201499,9.946399598705485e7,0.320396822439051,0.04950532196951908
305.8150976664953,1.067718827312485e8,0.320396822439051,0.05049972979124718
337.9953817148472,6.795428360236384e7,0.320396822439051,0.05611188840555711
132.56096206256285,1.1080783972501093e8,0.09154194926830028,0.021281152891538275
171.3864441843039,6.673294003169888e7,0.09154194926830028,0.02768671288978543
180.4778683737459,7.236225691465993e7,0.09154194926830028,0.02919827466151857
1069.6219636239482,7.765411068341045e7,0.9154194926830028,0.20212169656672685
1336.9450006082238,5.9555170187264994e7,0.9154194926830028,0.26607739778407224
1112.000543623677,8.946187647181517e7,0.9154194926830028,0.21182611086820144
2088.9912842066074,9.730596839807169e7,1.8308389853660056,0.4889273346777955
2056.4617398370224,1.1096227109636982e8,1.8308389853660056,0.4776770066330144
2376.383050102164,8.97756690984908e7,1.8308389853660056,0.5963007398077057
3303.868382974237,1.1245128870732072e8,3.6616779707320113,1.0804993477946745
3222.9537715300694,8.095272047292265e7,3.6616779707320113,1.0268637314433442
3365.5825722842615,8.80587121644367e7,3.6616779707320113,1.1233551309116399
4553.270554281793,1.1011457886080895e8,7.323355941464023,2.517954174570635
3718.0862067366343,1.3159498736414695e8,7.323355941464023,1.4064982208256325
4623.754921838514,1.1434481819478454e8,7.323355941464023,2.6606377304747935
5337.9044001151515,1.39448271887591e8,14.646711882928045,5.214388019432916
4830.940232115685,1.7699588318423367e8,14.646711882928045,3.156132771063149
5626.749733961785,1.4023750645007542e8,14.646711882928045,7.657084969028339
6138.581955774598,2.3248887477060238e8,29.29342376585609,27.52603250118484
5373.8613268222625,1.8679598939603955e8,29.29342376585609,5.440613951986345
5904.298733801921,1.9315471911653915e8,29.29342376585609,12.911405135808177
5560.337815079419,2.7707964671836185e8,58.58684753171218,6.939542858750919
5257.798922490853,2.843899819639801e8,58.58684753171218,4.763391789424972
5564.167655328362,2.654892791121003e8,58.58684753171218,6.97767460213542
5794.867623623579,4.058563396408942e8,117.17369506342436,10.225195491169462
5798.354684471092,3.5474682824910885e8,117.17369506342436,10.294691843847442
5453.360776988506,3.031444816384542e8,117.17369506342436,6.004374864654248
5982.285445046365,5.1735194992915547e8,234.34739012684872,15.77163704382034
6174.707319874183,5.301100769783838e8,234.34739012684872,33.04019911765673
5972.078528639452,4.776962027423041e8,234.34739012684872,15.33214853771606
6204.648138170817,7.401377550257598e8,468.69478025369745,39.53418588683132
6064.633496024457,7.792086312352744e8,468.69478025369745,20.42249420016681
6050.979032977424,7.31417875638804e8,468.69478025369745,19.4807671037256
6238.721183060386,1.0529094330495795e9,937.3895605073949,50.77463399017357
6309.546082318548,1.0249214799937894e9,937.3895605073949,121.23035482803417
6240.303179642919,1.101072626807808e9,937.3895605073949,51.449941806197046
6305.098911106725,1.4645150671929913e9,1830.8389853660053,111.60830644416039
6223.594446646145,1.5424160371697307e9,1830.8389853660053,45.0993073282998
5294.947007199973,1.2757785520159705e9,1830.8389853660053,4.964113647373
6329.942296883499,2.073040353784998e9,3661.6779707320106,200.0000000000054
6131.310906914632,2.137298831544248e9,3661.6779707320106,26.62533255321637
6175.60747736925,2.153420221510138e9,3661.6779707320106,33.20495228398081
5411.354438752568,2.9465480848959465e9,7323.355941464021,5.694738465185147
6085.577620220537,3.2482835032767606e9,7323.355941464021,22.048044890221913
6046.410274001181,3.127694919577644e9,7323.355941464021,19.183885405509532
5957.441016320794,4.018209089697358e9,14646.711882928043,14.74063192606537
5947.429478783116,4.616829230387515e9,14646.711882928043,14.360134135614455
6089.322198777857,4.350127103417357e9,14646.711882928043,22.36502904213365
5406.3900658926095,6.668239516633417e9,29293.423765856085,5.659944589185523
5408.389659705145,6.73608513854274e9,29293.423765856085,5.673915582869129
5671.920009654028,7.486488216965407e9,29293.423765856085,8.224083361701098
4588.534980310486,1.0188625277875753e10,58586.84753171217,2.587922953238402
4908.566106076665,1.314101566790965e10,58586.84753171217,3.3781683439616836
